side,sales_order,line_number,item,report_order_date,header_created,header_source,line_sys_created,header_in_july,line_in_july,dates_differ,bucket,tz_edge,customer_account,status
live_only,ORD00866999,1.0,MSG227WD06,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,7025,Invoiced
live_only,ORD00867000,1.0,OMPN84ER06,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,9022,Invoiced
live_only,ORD00867001,1.0,GMVL14TP06,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,9022,Invoiced
live_only,ORD00867002,1.0,PAPN84BU12,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,9022,Invoiced
live_only,ORD00867003,1.0,569-0-PK12,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,7125,Invoiced
live_only,ORD00867004,1.0,BCNAPKSG36,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,7125,Invoiced
live_only,ORD00867004,2.0,BCNAPKTP36,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,7125,Invoiced
live_only,ORD00867005,1.0,MSG2324AL6,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,7125,Invoiced
live_only,ORD00867005,2.0,MSG2324AL6,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,7125,Invoiced
live_only,ORD00867005,3.0,MSG2324AL6,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,7125,Invoiced
live_only,ORD00867005,4.0,MSG2324AL6,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,7125,Invoiced
live_only,ORD00867006,1.0,505-0-PK48,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,7125,Invoiced
live_only,ORD00867006,2.0,505-0-PK48,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,7125,Invoiced
live_only,ORD00867007,1.0,DRTU63WT06,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,7125,Invoiced
live_only,ORD00867007,2.0,DRTU63WT06,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,7125,Invoiced
live_only,ORD00867008,1.0,WRM1830DI6,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,9206,Invoiced
live_only,ORD00867009,1.0,MSG231GY06,2026-07-01,2026-07-01,SalesOrderHeadersV3,2026-07-01,yes,yes,no,both_in_period_other_cause,yes,9303,Invoiced
