timestamp,report_name,status,duration_sec,rows_output,files_uploaded,args,error
2026-02-23 12:38:58,Ordered Report,STARTED,,,,--customer 9300 --period YTD,
2026-02-23 13:10:36,Ordered Report,STARTED,,,,--customer 9300 --period mtd,
2026-02-23 13:10:40,Ordered Report,SUCCESS,2,,,--customer 9300 --period mtd,
2026-02-23 13:22:20,Ordered Report,STARTED,,,,--customer 9300 --period mtd,
2026-02-23 13:23:01,Ordered Report,SUCCESS,38,,,--customer 9300 --period mtd,
2026-02-23 13:49:11,Ordered Report,STARTED,,,,--customer 9300 9301 9303 --period mtd,
2026-02-23 13:50:39,Ordered Report,SUCCESS,85,,,--customer 9300 9301 9303 --period mtd,
2026-02-24 00:06:40,Ordered Report,STARTED,,,,,
2026-02-24 00:20:15,Ordered Report,SUCCESS,812,,,,
2026-02-24 05:07:06,Number 4 Report,STARTED,,,,,
2026-02-24 05:07:10,Number 4 Report,FAILED,1,,,,Runner returned exit code 1
2026-02-24 05:07:15,Invoiced Report,STARTED,,,,,
2026-02-24 05:07:52,Invoiced Report,FAILED,35,,,,Runner returned exit code 1
2026-02-24 06:55:55,Invoiced Report,STARTED,,,,,
2026-02-24 06:56:19,Invoiced Report,FAILED,22,,,,Runner returned exit code 1
2026-02-24 06:56:32,Number 4 Report,STARTED,,,,,
2026-02-24 06:56:35,Number 4 Report,FAILED,1,,,,Runner returned exit code 1
2026-02-24 07:05:28,Invoiced Report,STARTED,,,,,
2026-02-24 07:05:45,Number 4 Report,STARTED,,,,,
2026-02-24 07:05:49,Number 4 Report,FAILED,1,,,,Runner returned exit code 1
2026-02-24 07:11:27,Invoiced Report,SUCCESS,356,,,,
2026-02-24 07:18:55,Number 4 Report,STARTED,,,,,
2026-02-24 07:18:58,Number 4 Report,FAILED,1,,,,Runner returned exit code 1
2026-02-24 07:28:27,Number 4 Report,STARTED,,,,,
2026-02-24 07:43:06,Number 4 Report,FAILED,876,,,,Runner returned exit code 1
2026-02-24 09:06:48,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-02-24 09:06:54,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-02-24 11:45:37,Ordered Report,STARTED,,,,--salesman all --period daily,
2026-02-24 11:45:54,Invoiced Report,STARTED,,,,--salesman all --period daily,
2026-02-24 11:45:59,Invoiced Report,SUCCESS,2,,,--salesman all --period daily,
2026-02-24 11:46:12,Ordered Report,SUCCESS,32,,,--salesman all --period daily,
2026-02-24 11:54:02,Number 4 Report,STARTED,,,,,
2026-02-24 12:13:26,Number 4 Report,SUCCESS,1160,,,,
2026-02-24 15:56:06,Customer Activity Report,STARTED,,,,--email,
2026-02-24 16:02:01,Customer Activity Report,SUCCESS,352,,,--email,
2026-02-24 16:38:38,Customer Activity Report,STARTED,,,,--email,
2026-02-24 17:00:17,Ordered Report,STARTED,,,,,
2026-02-24 17:13:38,Ordered Report,SUCCESS,799,,,,
2026-02-24 17:59:17,Invoiced Report,STARTED,,,,,
2026-02-24 18:04:08,Invoiced Report,SUCCESS,288,,,,
2026-02-25 00:06:48,Ordered Report,STARTED,,,,,
2026-02-25 00:19:43,Ordered Report,SUCCESS,772,,,,
2026-02-25 05:06:50,Number 4 Report,STARTED,,,,,
2026-02-25 05:07:55,Invoiced Report,STARTED,,,,,
2026-02-25 05:13:43,Invoiced Report,SUCCESS,345,,,,
2026-02-25 05:23:30,Number 4 Report,SUCCESS,998,,,,
2026-02-25 09:06:55,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-02-25 09:07:20,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-02-25 10:12:38,Invoiced Report,STARTED,,,,,
2026-02-25 10:17:33,Invoiced Report,SUCCESS,293,,,,
2026-02-25 10:34:26,Invoiced Report,STARTED,,,,--from 2026-01-01 --to 2026-01-31,
2026-02-25 10:36:56,Invoiced Report,SUCCESS,147,,,--from 2026-01-01 --to 2026-01-31,
2026-02-25 11:17:47,Invoiced Report,STARTED,,,,,
2026-02-25 11:23:22,Invoiced Report,SUCCESS,333,,,,
2026-02-25 11:31:20,Invoiced Report,STARTED,,,,--from 2026-01-01 --to 2026-01-31,
2026-02-25 11:33:49,Invoiced Report,SUCCESS,147,,,--from 2026-01-01 --to 2026-01-31,
2026-02-25 12:01:46,Invoiced Report,STARTED,,,,--from 2026-01-01 --to 2026-01-31,
2026-02-25 12:04:22,Invoiced Report,SUCCESS,154,,,--from 2026-01-01 --to 2026-01-31,
2026-02-26 00:07:42,Ordered Report,STARTED,,,,,
2026-02-26 00:21:24,Ordered Report,SUCCESS,820,,,,
2026-02-26 05:06:42,Invoiced Report,STARTED,,,,,
2026-02-26 05:06:59,Number 4 Report,STARTED,,,,,
2026-02-26 05:11:42,Invoiced Report,SUCCESS,297,,,,
2026-02-26 05:23:03,Number 4 Report,SUCCESS,962,,,,
2026-02-26 09:06:55,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-02-26 09:07:10,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-02-26 11:35:30,Number 4 Report,STARTED,,,,,
2026-02-26 11:52:38,Number 4 Report,FAILED,1025,,,,Runner returned exit code 1
2026-02-26 13:37:27,Number 4 Report,STARTED,,,,,
2026-02-26 14:21:24,Number 4 Report,STARTED,,,,,
2026-02-26 14:42:34,Number 4 Report,SUCCESS,1268,,,,
2026-02-27 00:07:04,Ordered Report,STARTED,,,,,
2026-02-27 00:21:04,Ordered Report,SUCCESS,837,,,,
2026-02-27 05:06:55,Invoiced Report,STARTED,,,,,
2026-02-27 05:07:00,Number 4 Report,STARTED,,,,,
2026-02-27 05:12:15,Invoiced Report,SUCCESS,318,,,,
2026-02-27 05:26:23,Number 4 Report,SUCCESS,1160,,,,
2026-02-27 09:06:32,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-02-27 09:06:44,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-02-27 09:06:47,Ordered Report,SUCCESS,0,,,--salesman all --period yesterday,
2026-02-27 09:06:52,Invoiced Report,SUCCESS,17,,,--salesman all --period yesterday,
2026-02-28 00:06:54,Ordered Report,STARTED,,,,,
2026-02-28 00:20:10,Ordered Report,SUCCESS,793,,,,
2026-02-28 05:06:38,Invoiced Report,STARTED,,,,,
2026-02-28 05:07:12,Number 4 Report,STARTED,,,,,
2026-02-28 05:11:35,Invoiced Report,SUCCESS,293,,,,
2026-02-28 05:23:38,Number 4 Report,SUCCESS,983,,,,
2026-02-28 09:06:38,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-02-28 09:06:42,Ordered Report,SUCCESS,1,,,--salesman all --period yesterday,
